iter	Logloss
0	0.6733545453
1	0.6590896778
2	0.646350432
3	0.6313291828
4	0.6191571268
5	0.6101315102
6	0.5957209126
7	0.5823756872
8	0.5708652025
9	0.5640469669
10	0.5511924658
11	0.5481549809
12	0.5423482831
13	0.5391877849
14	0.5354904003
15	0.5255059232
16	0.5164579327
17	0.5123948515
18	0.5050113549
19	0.4991671101
20	0.4983280482
21	0.4889507508
22	0.4839889012
23	0.4805799763
24	0.4792671632
25	0.4772395016
26	0.4767384904
27	0.4750331064
28	0.4745083927
29	0.465588859
30	0.4593981625
31	0.4532030941
32	0.4501990843
33	0.448443895
34	0.4469139442
35	0.4440184175
36	0.4419307923
37	0.4406992023
38	0.439527533
39	0.4386264072
40	0.437352084
41	0.4372785332
42	0.435424719
43	0.4337751839
44	0.4309543652
45	0.4299629297
46	0.429383953
47	0.4288944287
48	0.4275390968
49	0.4244685655
50	0.4239901425
51	0.4226553413
52	0.4221427575
53	0.4213507149
54	0.4195409625
55	0.4188962786
56	0.4179818657
57	0.4146268609
58	0.4142232745
59	0.4125139044
60	0.4115196828
61	0.411102895
62	0.4105774954
63	0.4091935319
64	0.4087624282
65	0.408007161
66	0.4069683632
67	0.4065843218
68	0.4057911219
69	0.40569404
70	0.4055872714
71	0.4054796883
72	0.4035927419
73	0.4026369245
74	0.4009870036
75	0.4007697373
76	0.4004425306
77	0.3997250675
78	0.399666304
79	0.3993501556
80	0.3980226838
81	0.3974572942
82	0.3955129988
83	0.3947668183
84	0.3941019465
85	0.3931058391
86	0.3929755822
87	0.3922056134
88	0.3921084458
89	0.3918173715
90	0.3915857036
91	0.3909664368
92	0.3904288646
93	0.3899993896
94	0.3892439939
95	0.3884295346
96	0.3883606986
97	0.3883029209
98	0.3869418884
99	0.3864095881
100	0.3860166743
101	0.3847565383
102	0.3842957743
103	0.3833706031
104	0.3822173215
105	0.381820593
106	0.3814115203
107	0.381158293
108	0.3809468987
109	0.3809420553
110	0.3808971791
111	0.3802406225
112	0.3795688072
113	0.3793909309
114	0.3789284524
115	0.3786642953
116	0.3781148503
117	0.377721165
118	0.376664451
119	0.3762315043
120	0.3751921064
121	0.3732202937
122	0.3727119532
123	0.3719059805
124	0.3710799485
125	0.3706278426
126	0.3701825946
127	0.3700312925
128	0.3693000708
129	0.3690557587
130	0.3685767356
131	0.3683066207
132	0.3677908222
133	0.3665852922
134	0.3665086982
135	0.3662933178
136	0.3656793659
137	0.3654029075
138	0.3652084008
139	0.365009265
140	0.364108825
141	0.3636866366
142	0.3634913584
143	0.3634912727
144	0.3619638507
145	0.3615397335
146	0.3604318426
147	0.3601505408
148	0.3593626558
149	0.3583362451
150	0.356732915
151	0.3562912887
152	0.3560028076
153	0.3556116511
154	0.3555140763
155	0.3551553019
156	0.354891402
157	0.3546691852
158	0.3541405924
159	0.3538886081
160	0.3535650018
161	0.3534389453
162	0.3525064661
163	0.3521269037
164	0.3510812481
165	0.3508708397
166	0.3503453973
167	0.3497098858
168	0.3496130183
169	0.3494453216
170	0.3487843288
171	0.3484971121
172	0.348401659
173	0.347766319
174	0.3475927074
175	0.3474905035
176	0.3472784878
177	0.3469809629
178	0.3464579636
179	0.3461837769
180	0.3458444831
181	0.3454216303
182	0.3446697278
183	0.3444419604
184	0.3437277547
185	0.3435470495
186	0.3432897075
187	0.3426991581
188	0.3426900499
189	0.3421326112
190	0.3416512093
191	0.3411943671
192	0.3409734147
193	0.3404799901
194	0.340245129
195	0.3395060207
196	0.3390658947
197	0.3384114169
198	0.3381222929
199	0.3377898356
200	0.3374996614
201	0.3371540027
202	0.3368898027
203	0.33587175
204	0.335057205
205	0.3346506397
206	0.3340379093
207	0.3336336372
208	0.3329372192
209	0.332215127
210	0.3315350822
211	0.3312411576
212	0.3306341278
213	0.3300922694
214	0.3292311765
215	0.3281949504
216	0.3273315644
217	0.3269880059
218	0.326511083
219	0.3259048248
220	0.3249555866
